Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
5/2/1989,,17.2,218.96,12.62,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,11,15.75,,10,,,,,,12,,,9.75,,16
5/3/1989,,17.35,219.27,12.62,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,11,15.67,,12.5,,,,,,11,,,9.75,,16
5/4/1989,,17.15,225.94,12.61,4.5,,,,,NaN,12.875,,,14,,,10,,2.5,,,,,NaN,14.53,,,,,,,,,,,9.75,,NaN
5/5/1989,,16.85,241.01,12.61,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,11,14.35,,,,,,,,11,,,9.75,,16
5/6/1989,,,,NaN,,,,,,,,,,NaN,,,,,2.5,,,,,NaN,NaN,,,,,,,,,,,9.75,,16
5/7/1989,,,,NaN,,,,,,,,,,NaN,,,,,2.5,,,,,NaN,NaN,,,,,,,,,,,9.75,,NaN
5/8/1989,,17.13,253.93,12.61,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,11,14.45,,,,,,,,13,,,9.75,,17
5/9/1989,,17.3,253.51,12.61,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,10.5,13.81,,,,,,,,13,,,9.75,,17
5/10/1989,,17.2,252.88,12.61,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,10.5,13.05,,,,,,,,12,,,9.75,,17
5/11/1989,,17.1,256.96,12.5,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,10.5,13.45,,,,,,,,11,,,9.75,,17
5/12/1989,,17.03,261.17,12.5,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,10.5,13.74,,10,,,,,,11,,,9.75,,17
5/13/1989,,,,NaN,,,,,,,,,,NaN,,,,,2.5,,,,,NaN,NaN,,,,,,,,,,,9.75,,17
5/14/1989,,,,NaN,,,,,,,,,,NaN,,,,,2.5,,,,,NaN,NaN,,,,,,,,,,,9.75,,NaN
5/15/1989,,17.05,263.49,12.5,4.5,,,,,NaN,12.875,,,14,,,10,,2.5,,,,,NaN,13.53,,12.5,,,,,,,,,9.75,,17
5/16/1989,,17.1,266.24,12.5,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,10.5,13.5,,12.5,,,,,,11,,,9.75,,17
5/17/1989,,17.38,260.63,12.5,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,NaN,13.53,,,,,,,,11,,,9.8125,,17
5/18/1989,,17.28,257.03,12.3,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,10.5,13.5,,,,,,,,11,,,9.8125,,17
5/19/1989,,17,252.18,12.3,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,10.5,14.25,,,,,,,,11,,,9.8125,,17
5/20/1989,,,,NaN,,,,,,,,,,NaN,,,,,2.5,,,,,NaN,NaN,,,,,,,,,,,9.8125,,17
5/21/1989,,,,NaN,,,,,,,,,,NaN,,,,,2.5,,,,,NaN,NaN,,,,,,,,,,,9.8125,,NaN
5/22/1989,,17.13,241.86,12.3,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,10.5,13.82,,,,,,,,11,,,9.8125,,17
5/23/1989,,17.35,242.94,12.3,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,10.5,13.41,,,,,,,,11,,,9.8125,,17
5/24/1989,,17.55,244.33,12.3,4.5,,,,,7,12.875,,,14,,,10,,2.5,,,,,10.5,12.35,,,,,,,,12,,,9.8125,,17
5/25/1989,,17.73,NaN,12.4,4.5,,,,,7,13.75,,,14,,,10,,2.5,,,,,10.5,12.31,,,,,,,,12,,,9.8125,,17
5/26/1989,,17.58,306.82,12.4,4.5,,,,,7,13.75,,,14,,,10,,2.5,,,,,10.5,13.34,,,,,,,,12,,,9.8125,,17
5/27/1989,,,,NaN,,,,,,,,,,NaN,,,,,2.5,,,,,NaN,NaN,,,,,,,,,,,9.8125,,17
5/28/1989,,,,NaN,,,,,,,,,,NaN,,,,,2.5,,,,,NaN,NaN,,,,,,,,,,,9.8125,,NaN
5/29/1989,,17.8,315.06,12.4,4.5,,,,,7,NaN,,,14,,,10,,2.5,,,,,10.5,13.19,,,,,,,,12,,,9.8125,,17
5/30/1989,,17.68,385.66,12.4,4.5,,,,,7,13.75,,,14,,,10,,2.5,,,,,10.5,12.94,,,,,,,,11,,,9.8125,,17
5/31/1989,,17.68,440.15,12.4,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,12.96,,,,,,,,11,,,9.8125,,NaN
6/1/1989,,17.65,477.65,12.42,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,12.99,,9,,,,,,11,,,9.8125,,17
6/2/1989,,17.42,525.76,12.42,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,13.5,,6,,,,,,11,,,9.8125,,17
6/3/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.8125,,17
6/4/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.8125,,NaN
6/5/1989,,17.68,528,12.42,4.5,,,,,NaN,13.75,,,14,,,10,,3.25,,,,,10.5,NaN,,12,,,,,,11,,,9.8125,,17
6/6/1989,,17.53,570.93,12.42,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,13.5,,,,,,,,10,,,9.5625,,17
6/7/1989,,17.55,621.57,12.42,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,14.04,,12.5,,,,,,10,,,9.5625,,17
6/8/1989,,17.68,706.46,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,14.33,,12.5,,,,,,11,,,9.5625,,17
6/9/1989,,17.53,767.57,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,14.72,,5,,,,,,11,,,9.5625,,17
6/10/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.5625,,17
6/11/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.5625,,NaN
6/12/1989,,NaN,818.16,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,13.25,,,,,,,,11,,,9.5625,,17
6/13/1989,,18.3,927.19,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,13.68,,13,,,,,,11,,,9.5625,,17
6/14/1989,,17.9,1355.26,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,13.7,,12.5,,,,,,11,,,9.5625,,17
6/15/1989,,17.68,1968.76,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,13.72,,12.5,,,,,,12,,,9.5625,,17
6/16/1989,,17.55,1993.74,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,13.98,,6,,,,,,12,,,9.5625,,17
6/17/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.5625,,17
6/18/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.5625,,NaN
6/19/1989,,17.75,2004.05,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,13.88,,12.5,,,,,,12,,,9.5625,,17
6/20/1989,,17.78,2023.52,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,13,,12.5,,,,,,11,,,9.5625,,17
6/21/1989,,17.83,2047.99,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10.5,13,,12.5,,,,,,12,,,9.5625,,17
6/22/1989,,17.73,2078.38,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,12.73,,12,,,,,,12,,,9.5625,,17
6/23/1989,,17.5,2701.79,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13,,5.5,,,,,,,,,9.5625,,17
6/24/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.5625,,17
6/25/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.5625,,NaN
6/26/1989,,17.45,3984.37,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.34,,12.5,,,,,,12,,,9.5625,,17
6/27/1989,,17.3,3972.16,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,12.82,,12,,,,,,12,,,9.5625,,17
6/28/1989,,17.23,3939.06,12.31,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,12.51,,13,,,,,,12,,,9.5625,,17
6/29/1989,,18,3595.34,12.33,4.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,12,,13,,,,,,11,,,9.5625,,17
6/30/1989,,19.25,3738.11,12.33,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.7,,14,,,,,,11,,,9.5625,,17
7/1/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.5625,,17
7/2/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.5625,,NaN
7/3/1989,,17.5,3156.51,12.33,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,12.75,,14,,,,,,12,,,9.5625,,17
7/4/1989,,17.5,2705.81,12.33,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,11.75,,14.5,,,,,,12,,,9.5625,,17
7/5/1989,,17.3,2841.45,12.33,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,10,,14.5,,,,,,12,,,9.5625,,17
7/6/1989,,17.75,2925.37,12.3,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,11.25,,14.5,,,,,,12,,,9.5625,,17
7/7/1989,,17.5,2898.71,12.3,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.5,,14.5,,,,,,12,,,9.3125,,17
7/8/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.3125,,17
7/9/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.3125,,NaN
7/10/1989,,17.95,2999.21,12.3,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.75,,14.5,,,,,,12,,,9.3125,,17
7/11/1989,,18,2950.62,12.3,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,14.51,,14.5,,,,,,12,,,9.3125,,17
7/12/1989,,17.63,2986.36,12.3,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.5,,14.5,,,,,,12,,,9.3125,,17
7/13/1989,,18.25,3126.26,12.3,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.25,,14.5,,,,,,11,,,9.3125,,17
7/14/1989,,17.98,3085.01,12.3,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,14.5,,,,,,,,11,,,9.3125,,NaN
7/15/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.3125,,17
7/16/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.3125,,NaN
7/17/1989,,18,3492.42,12.3,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.99,,,,,,,,12,,,9.3125,,17
7/18/1989,,18.38,3283.07,12.3,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,14,,,,,,,,11,,,9.3125,,17
7/19/1989,,18,3179.2,12.3,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.25,,,,,,,,11,,,9.3125,,17
7/20/1989,,17.98,3030.18,12.32,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,12.92,,,,,,,,11,,,9.3125,,17
7/21/1989,,17.95,3056.93,12.32,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.25,,,,,,,,11,,,9.3125,,17
7/22/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.3125,,17
7/23/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.3125,,NaN
7/24/1989,,17.95,3024,12.32,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.46,,,,,,,,12,,,9.3125,,17
7/25/1989,,18.05,3060.38,12.32,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,12.99,,,,,,,,11,,,9.3125,,17
7/26/1989,,18,3022.3,12.32,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,12.5,,,,,,,,11,,,9.3125,,17
7/27/1989,,18.15,2881.8,12.36,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.31,,,,,,,,12,,,9.0625,,17
7/28/1989,,18.33,2811.15,12.36,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.75,,,,,,,,13,,,9.0625,,17
7/29/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,17
7/30/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,NaN
7/31/1989,,18.18,2700.46,12.36,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.62,,,,,,,,12,,,9.0625,,17
8/1/1989,,18,2694.17,12.36,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.7,,,,,,,,12,,,9.0625,,17
8/2/1989,,17.83,2629.62,12.36,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,12.25,,,,,,,,11,,,9.0625,,17
8/3/1989,,17.88,2565.83,12.4,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.16,,,,,,,,11,,,9.0625,,17
8/4/1989,,17.58,2575.66,12.4,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.58,,,,,,,,12,,,9.0625,,17
8/5/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,17
8/6/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,NaN
8/7/1989,,17,2585.16,12.4,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.02,,,,,,,,12,,,9.0625,,17
8/8/1989,,18.68,2583.69,12.4,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,12.5,,,,,,,,12,,,9.0625,,17
8/9/1989,,18.55,2590.47,12.4,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,11.63,,,,,,,,12,,,9.0625,,17
8/10/1989,,17.73,2640.8,12.41,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,11.22,,,,,,,,12,,,9.0625,,17
8/11/1989,,17.6,2659.35,12.41,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.25,,,,,,,,12,,,9.0625,,17
8/12/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,17
8/13/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,NaN
8/14/1989,,17.75,2644.54,12.41,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.25,,,,,,,,11,,,9.0625,,17
8/15/1989,,18.3,2631.11,12.41,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.5,,,,,,,,12,,,9.0625,,17
8/16/1989,,18.08,2596.71,12.41,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.5,,,,,,,,12,,,9.0625,,17
8/17/1989,,17.95,2548.09,12.38,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.75,,,,,,,,12,,,9.0625,,17
8/18/1989,,17.63,2545.2,12.38,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.45,,,,,,,,11,,,9.0625,,17
8/19/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,17
8/20/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,NaN
8/21/1989,,17.53,2586.44,12.38,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,11.5,,,,,,,,11,,,9.0625,,17
8/22/1989,,17.88,2569.47,12.38,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,12.05,,,,,,,,10,,,9.0625,,17
8/23/1989,,18.13,2538.36,12.38,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.25,,,,,,,,13,,,9.0625,,17
8/24/1989,,17.85,2579.68,12.4,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.37,,,,,,,,11,,,9.0625,,17
8/25/1989,,17.48,2657.48,12.4,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,14,,,,,,,,11,,,9.0625,,17
8/26/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,17
8/27/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,NaN
8/28/1989,,17.9,2681.25,12.4,5.5,,,,,7,NaN,,,14,,,10,,3.25,,,,,10,14.08,,,,,,,,11,,,9.0625,,17
8/29/1989,,17.98,2850.28,12.4,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,14,,,,,,,,12,,,9.0625,,17
8/30/1989,,17.85,3280.77,12.4,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.75,,,,,,,,12,,,9.0625,,17
8/31/1989,,17.63,3870.12,12.41,5.5,,,,,7,13.8438,,,14,,,10,,3.25,,,,,10,14.23,,,,,,,,12,,,9.0625,,17
9/1/1989,,17.55,4907.02,12.41,5.5,,,,,7,13.8438,,,14,,,10,,3.25,,,,,10,13.75,,,,,,,,12,,,9.0625,,17
9/2/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,17
9/3/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,NaN
9/4/1989,,17.78,4876.49,12.41,5.5,,,,,7,13.875,,,14,,,10,,3.25,,,,,10,13,,,,,,,,11,,,9.0625,,17
9/5/1989,,17.73,4950.44,12.41,5.5,,,,,7,13.875,,,14,,,10,,3.25,,,,,10,13.62,,,,,,,,11,,,9.0625,,17
9/6/1989,,17.95,4889.01,12.41,5.5,,,,,7,13.875,,,14,,,10,,3.25,,,,,10,14.25,,,,,,,,12,,,9.0625,,17
9/7/1989,,18.3,NaN,12.37,5.5,,,,,7,13.875,,,14,,,10,,3.25,,,,,10,13.87,,,,,,,,12,,,9.0625,,17
9/8/1989,,18.38,4909.75,12.37,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,14,,,,,,,,12,,,9.0625,,17
9/9/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,17
9/10/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,NaN
9/11/1989,,18.45,4919.98,12.37,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.58,,,,,,,,12,,,9.0625,,17
9/12/1989,,19,4883.26,12.37,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.54,,,,,,,,12,,,9.0625,,17
9/13/1989,,17.98,4883.93,12.37,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.97,,,,,,,,12,,,9.0625,,17
9/14/1989,,17.85,5036.99,12.47,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,14,,,,,,,,12,,,9.0625,,17
9/15/1989,,17.85,5205.19,12.47,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.75,,5,,,,,,12,,,9.0625,,17
9/16/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,17
9/17/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,NaN
9/18/1989,,17.9,5219.62,12.47,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.53,,20,,,,,,11,,,9.0625,,17
9/19/1989,,18.05,5205.9,12.47,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.25,,,,,,,,10,,,9.0625,,17
9/20/1989,,18.15,5252.26,12.47,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,12.75,,,,,,,,11,,,9.0625,,17
9/21/1989,,18.38,5318.88,12.47,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13,,,,,,,,12,,,9.0625,,17
9/22/1989,,18.18,7854.59,12.47,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,14.5,,,,,,,,12,,,9.0625,,17
9/23/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,17
9/24/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,NaN
9/25/1989,,18,8840.25,12.47,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,14,,,,,,,,12,,,9.0625,,17
9/26/1989,,17.93,9153,12.47,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,14.25,,,,,,,,12,,,9.0625,,17
9/27/1989,,17.95,9424.81,12.47,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,14,,,,,,,,12,,,9.0625,,17
9/28/1989,,18,9637.7,12.48,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,12.5,,,,,,,,12,,,9.0625,,17
9/29/1989,,17.95,9492.87,12.48,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,15.25,,27.5,,,,,,12,,,9.0625,,17
9/30/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,17
10/1/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,NaN
10/2/1989,,17.9,9993.25,12.48,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,13.25,,50,,,,,,11,,,9.0625,,17
10/3/1989,,18.08,9744.57,12.48,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,14,,69.69,,,,,,11,,,9.0625,,17
10/4/1989,,17.85,9878.95,12.48,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,12.25,,,,,,,,12,,,9.0625,,17
10/5/1989,,17.83,9981.62,12.48,5.5,,,,,7,13.75,,,14,,,10,,3.25,,,,,10,14.25,,,,,,,,11,,,9.0625,,17
10/6/1989,,17.78,10532.58,12.48,6,,,,,7,14.875,,,14,,,10,,3.25,,,,,10,13.5,,,,,,,,12,,,9.0625,,17
10/7/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,17
10/8/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.25,,,,,NaN,NaN,,,,,,,,,,,9.0625,,NaN
10/9/1989,,18.23,NaN,12.48,6,,,,,7,14.875,,,14,,,10,,3.25,,,,,10,14.25,,,,,,,,12,,,9.0625,,17
10/10/1989,,18.55,10183.87,12.48,6,,,,,7,14.875,,,14,,,10,,3.25,,,,,10,13.75,,,,,,,,12,,,9.0625,,NaN
10/11/1989,,18.18,9835.76,12.48,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,13.75,,,,,,,,12,,,9.0625,,18
10/12/1989,,18.35,10756.12,12.46,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,13.5,,,,,,,,11,,,9.0625,,18
10/13/1989,,17.9,10913.97,12.46,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,13.25,,5,,,,,,11,,,9.0625,,18
10/14/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,9.0625,,18
10/15/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,9.0625,,NaN
10/16/1989,,17.88,10788.55,12.46,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,13.5,,,,,,,,12,,,9.0625,,18
10/17/1989,,18,10719.39,12.46,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,13.5,,14,,,,,,12,,,9.0625,,18
10/18/1989,,17.8,10552.77,12.46,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,13.75,,15,,,,,,12,,,9.0625,,18
10/19/1989,,17.9,10650.7,12.43,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,14.25,,15,,,,,,12,,,8.75,,18
10/20/1989,,17.85,10669.65,12.43,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,14.5,,5,,,,,,12,,,8.75,,18
10/21/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.75,,18
10/22/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.75,,NaN
10/23/1989,,18.05,10536.18,12.43,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,NaN,,18,,,,,,11,,,8.75,,18
10/24/1989,,18.43,10577.36,12.43,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,12.2,,15,,,,,,12,,,8.75,,18
10/25/1989,,18.18,10578.07,12.43,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,12.75,,15,,,,,,11,,,8.75,,18
10/26/1989,,18,10561.45,12.42,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,12.5,,15,,,,,,11,,,8.75,,18
10/27/1989,,17.9,10682.07,12.42,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,11.25,,5,,,,,,11,,,8.75,,18
10/28/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.75,,18
10/29/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.75,,NaN
10/30/1989,,18.28,12986.31,12.42,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,11.82,,16,,,,,,11,,,8.75,,18
10/31/1989,,18.1,13871.81,12.42,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,12,,8,,,,,,11,,,8.75,,18
11/1/1989,,17.98,15136.33,12.42,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,11.5,,,,,,,,12,,,8.75,,18
11/2/1989,,17.8,NaN,12.47,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,12,,16,,,,,,11,,,8.75,,18
11/3/1989,,17.78,14813.95,12.47,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,13.25,,5,,,,,,11,,,8.75,,18
